#,NAME,TYPE 1,TYPE 2,TOTAL,HP,ATTACK,DEFENSE,SP. ATK,SP. DEF,SPEED,GENERATION,LEGENDARY
323,CAMERUPT,FIRE,GROUND,460,70,100,70,105,75,40,3,FALSE
323,MEGA CAMERUPT,FIRE,GROUND,560,70,120,100,145,105,20,3,FALSE
324,TORKOAL,FIRE,,470,70,85,140,85,70,20,3,FALSE
325,SPOINK,PSYCHIC,,330,60,25,35,70,80,60,3,FALSE
326,GRUMPIG,PSYCHIC,,470,80,45,65,90,110,80,3,FALSE
327,SPINDA,NORMAL,,360,60,60,60,60,60,60,3,FALSE
328,TRAPINCH,GROUND,,290,45,100,45,45,45,10,3,FALSE
329,VIBRAVA,GROUND,DRAGON,340,50,70,50,50,50,70,3,FALSE
330,FLYGON,GROUND,DRAGON,520,80,100,80,80,80,100,3,FALSE
331,CACNEA,GRASS,,335,50,85,40,85,40,35,3,FALSE
332,CACTURNE,GRASS,DARK,475,70,115,60,115,60,55,3,FALSE
333,SWABLU,NORMAL,FLYING,310,45,40,60,40,75,50,3,FALSE
334,ALTARIA,DRAGON,FLYING,490,75,70,90,70,105,80,3,FALSE
334,MEGA ALTARIA,DRAGON,FAIRY,590,75,110,110,110,105,80,3,FALSE
335,ZANGOOSE,NORMAL,,458,73,115,60,60,60,90,3,FALSE
336,SEVIPER,POISON,,458,73,100,60,100,60,65,3,FALSE
337,LUNATONE,ROCK,PSYCHIC,440,70,55,65,95,85,70,3,FALSE
338,SOLROCK,ROCK,PSYCHIC,440,70,95,85,55,65,70,3,FALSE
339,BARBOACH,WATER,GROUND,288,50,48,43,46,41,60,3,FALSE
340,WHISCASH,WATER,GROUND,468,110,78,73,76,71,60,3,FALSE
341,CORPHISH,WATER,,308,43,80,65,50,35,35,3,FALSE
342,CRAWDAUNT,WATER,DARK,468,63,120,85,90,55,55,3,FALSE
343,BALTOY,GROUND,PSYCHIC,300,40,40,55,40,70,55,3,FALSE
344,CLAYDOL,GROUND,PSYCHIC,500,60,70,105,70,120,75,3,FALSE
345,LILEEP,ROCK,GRASS,355,66,41,77,61,87,23,3,FALSE
346,CRADILY,ROCK,GRASS,495,86,81,97,81,107,43,3,FALSE
347,ANORITH,ROCK,BUG,355,45,95,50,40,50,75,3,FALSE
348,ARMALDO,ROCK,BUG,495,75,125,100,70,80,45,3,FALSE
349,FEEBAS,WATER,,200,20,15,20,10,55,80,3,FALSE
350,MILOTIC,WATER,,540,95,60,79,100,125,81,3,FALSE
351,CASTFORM,NORMAL,,420,70,70,70,70,70,70,3,FALSE
352,KECLEON,NORMAL,,440,60,90,70,60,120,40,3,FALSE
353,SHUPPET,GHOST,,295,44,75,35,63,33,45,3,FALSE
354,BANETTE,GHOST,,455,64,115,65,83,63,65,3,FALSE
354,MEGA BANETTE,GHOST,,555,64,165,75,93,83,75,3,FALSE
355,DUSKULL,GHOST,,295,20,40,90,30,90,25,3,FALSE
356,DUSCLOPS,GHOST,,455,40,70,130,60,130,25,3,FALSE
357,TROPIUS,GRASS,FLYING,460,99,68,83,72,87,51,3,FALSE
358,CHIMECHO,PSYCHIC,,425,65,50,70,95,80,65,3,FALSE
359,ABSOL,DARK,,465,65,130,60,75,60,75,3,FALSE
359,MEGA ABSOL,DARK,,565,65,150,60,115,60,115,3,FALSE
360,WYNAUT,PSYCHIC,,260,95,23,48,23,48,23,3,FALSE
361,SNORUNT,ICE,,300,50,50,50,50,50,50,3,FALSE
362,GLALIE,ICE,,480,80,80,80,80,80,80,3,FALSE
362,MEGA GLALIE,ICE,,580,80,120,80,120,80,100,3,FALSE
363,SPHEAL,ICE,WATER,290,70,40,50,55,50,25,3,FALSE
364,SEALEO,ICE,WATER,410,90,60,70,75,70,45,3,FALSE
365,WALREIN,ICE,WATER,530,110,80,90,95,90,65,3,FALSE
366,CLAMPERL,WATER,,345,35,64,85,74,55,32,3,FALSE
367,HUNTAIL,WATER,,485,55,104,105,94,75,52,3,FALSE
368,GOREBYSS,WATER,,485,55,84,105,114,75,52,3,FALSE
369,RELICANTH,WATER,ROCK,485,100,90,130,45,65,55,3,FALSE
370,LUVDISC,WATER,,330,43,30,55,40,65,97,3,FALSE
371,BAGON,DRAGON,,300,45,75,60,40,30,50,3,FALSE
372,SHELGON,DRAGON,,420,65,95,100,60,50,50,3,FALSE
373,SALAMENCE,DRAGON,FLYING,600,95,135,80,110,80,100,3,FALSE
373,MEGA SALAMENCE,DRAGON,FLYING,700,95,145,130,120,90,120,3,FALSE
374,BELDUM,STEEL,PSYCHIC,300,40,55,80,35,60,30,3,FALSE
375,METANG,STEEL,PSYCHIC,420,60,75,100,55,80,50,3,FALSE
376,METAGROSS,STEEL,PSYCHIC,600,80,135,130,95,90,70,3,FALSE
376,MEGA METAGROSS,STEEL,PSYCHIC,700,80,145,150,105,110,110,3,FALSE
377,REGIROCK,ROCK,,580,80,100,200,50,100,50,3,TRUE
378,REGICE,ICE,,580,80,50,100,100,200,50,3,TRUE
379,REGISTEEL,STEEL,,580,80,75,150,75,150,50,3,TRUE
380,LATIAS,DRAGON,PSYCHIC,600,80,80,90,110,130,110,3,TRUE
380,MEGA LATIAS,DRAGON,PSYCHIC,700,80,100,120,140,150,110,3,TRUE
381,LATIOS,DRAGON,PSYCHIC,600,80,90,80,130,110,110,3,TRUE
381,MEGA LATIOS,DRAGON,PSYCHIC,700,80,130,100,160,120,110,3,TRUE
382,KYOGRE,WATER,,670,100,100,90,150,140,90,3,TRUE
382,KYOGREPRIMAL KYOGRE,WATER,,770,100,150,90,180,160,90,3,TRUE
383,GROUDON,GROUND,,670,100,150,140,100,90,90,3,TRUE
383,GROUDONPRIMAL GROUDON,GROUND,FIRE,770,100,180,160,150,90,90,3,TRUE
384,RAYQUAZA,DRAGON,FLYING,680,105,150,90,150,90,95,3,TRUE
384,MEGA RAYQUAZA,DRAGON,FLYING,780,105,180,100,180,100,115,3,TRUE
385,JIRACHI,STEEL,PSYCHIC,600,100,100,100,100,100,100,3,TRUE
386,DEOXYSNORMAL FORME,PSYCHIC,,600,50,150,50,150,50,150,3,TRUE
386,DEOXYSATTACK FORME,PSYCHIC,,600,50,180,20,180,20,150,3,TRUE
386,DEOXYSDEFENSE FORME,PSYCHIC,,600,50,70,160,70,160,90,3,TRUE
386,DEOXYSSPEED FORME,PSYCHIC,,600,50,95,90,95,90,180,3,TRUE
387,TURTWIG,GRASS,,318,55,68,64,45,55,31,4,FALSE
388,GROTLE,GRASS,,405,75,89,85,55,65,36,4,FALSE
389,TORTERRA,GRASS,GROUND,525,95,109,105,75,85,56,4,FALSE
390,CHIMCHAR,FIRE,,309,44,58,44,58,44,61,4,FALSE
391,MONFERNO,FIRE,FIGHTING,405,64,78,52,78,52,81,4,FALSE
392,INFERNAPE,FIRE,FIGHTING,534,76,104,71,104,71,108,4,FALSE
393,PIPLUP,WATER,,314,53,51,53,61,56,40,4,FALSE
394,PRINPLUP,WATER,,405,64,66,68,81,76,50,4,FALSE
395,EMPOLEON,WATER,STEEL,530,84,86,88,111,101,60,4,FALSE
396,STARLY,NORMAL,FLYING,245,40,55,30,30,30,60,4,FALSE
397,STARAVIA,NORMAL,FLYING,340,55,75,50,40,40,80,4,FALSE
398,STARAPTOR,NORMAL,FLYING,485,85,120,70,50,60,100,4,FALSE
399,BIDOOF,NORMAL,,250,59,45,40,35,40,31,4,FALSE
400,BIBAREL,NORMAL,WATER,410,79,85,60,55,60,71,4,FALSE
401,KRICKETOT,BUG,,194,37,25,41,25,41,25,4,FALSE
402,KRICKETUNE,BUG,,384,77,85,51,55,51,65,4,FALSE
403,SHINX,ELECTRIC,,263,45,65,34,40,34,45,4,FALSE
404,LUXIO,ELECTRIC,,363,60,85,49,60,49,60,4,FALSE
405,LUXRAY,ELECTRIC,,523,80,120,79,95,79,70,4,FALSE
406,BUDEW,GRASS,POISON,280,40,30,35,50,70,55,4,FALSE
407,ROSERADE,GRASS,POISON,515,60,70,65,125,105,90,4,FALSE
408,CRANIDOS,ROCK,,350,67,125,40,30,30,58,4,FALSE
409,RAMPARDOS,ROCK,,495,97,165,60,65,50,58,4,FALSE
410,SHIELDON,ROCK,STEEL,350,30,42,118,42,88,30,4,FALSE
411,BASTIODON,ROCK,STEEL,495,60,52,168,47,138,30,4,FALSE
412,BURMY,BUG,,224,40,29,45,29,45,36,4,FALSE
413,WORMADAMPLANT CLOAK,BUG,GRASS,424,60,59,85,79,105,36,4,FALSE
413,WORMADAMSANDY CLOAK,BUG,GROUND,424,60,79,105,59,85,36,4,FALSE
413,WORMADAMTRASH CLOAK,BUG,STEEL,424,60,69,95,69,95,36,4,FALSE
414,MOTHIM,BUG,FLYING,424,70,94,50,94,50,66,4,FALSE
415,COMBEE,BUG,FLYING,244,30,30,42,30,42,70,4,FALSE
416,VESPIQUEN,BUG,FLYING,474,70,80,102,80,102,40,4,FALSE
417,PACHIRISU,ELECTRIC,,405,60,45,70,45,90,95,4,FALSE
418,BUIZEL,WATER,,330,55,65,35,60,30,85,4,FALSE
419,FLOATZEL,WATER,,495,85,105,55,85,50,115,4,FALSE
420,CHERUBI,GRASS,,275,45,35,45,62,53,35,4,FALSE
421,CHERRIM,GRASS,,450,70,60,70,87,78,85,4,FALSE
422,SHELLOS,WATER,,325,76,48,48,57,62,34,4,FALSE
423,GASTRODON,WATER,GROUND,475,111,83,68,92,82,39,4,FALSE
424,AMBIPOM,NORMAL,,482,75,100,66,60,66,115,4,FALSE
425,DRIFLOON,GHOST,FLYING,348,90,50,34,60,44,70,4,FALSE
426,DRIFBLIM,GHOST,FLYING,498,150,80,44,90,54,80,4,FALSE
427,BUNEARY,NORMAL,,350,55,66,44,44,56,85,4,FALSE
428,LOPUNNY,NORMAL,,480,65,76,84,54,96,105,4,FALSE
428,MEGA LOPUNNY,NORMAL,FIGHTING,580,65,136,94,54,96,135,4,FALSE
429,MISMAGIUS,GHOST,,495,60,60,60,105,105,105,4,FALSE
430,HONCHKROW,DARK,FLYING,505,100,125,52,105,52,71,4,FALSE
431,GLAMEOW,NORMAL,,310,49,55,42,42,37,85,4,FALSE
432,PURUGLY,NORMAL,,452,71,82,64,64,59,112,4,FALSE
433,CHINGLING,PSYCHIC,,285,45,30,50,65,50,45,4,FALSE
434,STUNKY,POISON,DARK,329,63,63,47,41,41,74,4,FALSE
435,SKUNTANK,POISON,DARK,479,103,93,67,71,61,84,4,FALSE
436,BRONZOR,STEEL,PSYCHIC,300,57,24,86,24,86,23,4,FALSE
437,BRONZONG,STEEL,PSYCHIC,500,67,89,116,79,116,33,4,FALSE
438,BONSLY,ROCK,,290,50,80,95,10,45,10,4,FALSE
439,MIME JR.,PSYCHIC,FAIRY,310,20,25,45,70,90,60,4,FALSE
440,HAPPINY,NORMAL,,220,100,5,5,15,65,30,4,FALSE
441,CHATOT,NORMAL,FLYING,411,76,65,45,92,42,91,4,FALSE
442,SPIRITOMB,GHOST,DARK,485,50,92,108,92,108,35,4,FALSE
443,GIBLE,DRAGON,GROUND,300,58,70,45,40,45,42,4,FALSE
444,GABITE,DRAGON,GROUND,410,68,90,65,50,55,82,4,FALSE
445,GARCHOMP,DRAGON,GROUND,600,108,130,95,80,85,102,4,FALSE
445,MEGA GARCHOMP,DRAGON,GROUND,700,108,170,115,120,95,92,4,FALSE
446,MUNCHLAX,NORMAL,,390,135,85,40,40,85,5,4,FALSE
447,RIOLU,FIGHTING,,285,40,70,40,35,40,60,4,FALSE
448,LUCARIO,FIGHTING,STEEL,525,70,110,70,115,70,90,4,FALSE
448,MEGA LUCARIO,FIGHTING,STEEL,625,70,145,88,140,70,112,4,FALSE
449,HIPPOPOTAS,GROUND,,330,68,72,78,38,42,32,4,FALSE
450,HIPPOWDON,GROUND,,525,108,112,118,68,72,47,4,FALSE
451,SKORUPI,POISON,BUG,330,40,50,90,30,55,65,4,FALSE
452,DRAPION,POISON,DARK,500,70,90,110,60,75,95,4,FALSE
453,CROAGUNK,POISON,FIGHTING,300,48,61,40,61,40,50,4,FALSE
454,TOXICROAK,POISON,FIGHTING,490,83,106,65,86,65,85,4,FALSE
455,CARNIVINE,GRASS,,454,74,100,72,90,72,46,4,FALSE
456,FINNEON,WATER,,330,49,49,56,49,61,66,4,FALSE
457,LUMINEON,WATER,,460,69,69,76,69,86,91,4,FALSE
458,MANTYKE,WATER,FLYING,345,45,20,50,60,120,50,4,FALSE
459,SNOVER,GRASS,ICE,334,60,62,50,62,60,40,4,FALSE
460,ABOMASNOW,GRASS,ICE,494,90,92,75,92,85,60,4,FALSE
460,MEGA ABOMASNOW,GRASS,ICE,594,90,132,105,132,105,30,4,FALSE
461,WEAVILE,DARK,ICE,510,70,120,65,45,85,125,4,FALSE
462,MAGNEZONE,ELECTRIC,STEEL,535,70,70,115,130,90,60,4,FALSE
463,LICKILICKY,NORMAL,,515,110,85,95,80,95,50,4,FALSE
464,RHYPERIOR,GROUND,ROCK,535,115,140,130,55,55,40,4,FALSE
465,TANGROWTH,GRASS,,535,100,100,125,110,50,50,4,FALSE
466,ELECTIVIRE,ELECTRIC,,540,75,123,67,95,85,95,4,FALSE
467,MAGMORTAR,FIRE,,540,75,95,67,125,95,83,4,FALSE
468,TOGEKISS,FAIRY,FLYING,545,85,50,95,120,115,80,4,FALSE
469,MEGA,BUG,FLYING,515,86,76,86,116,56,95,4,FALSE
470,LEAFEON,GRASS,,525,65,110,130,60,65,95,4,FALSE
471,GLACEON,ICE,,525,65,60,110,130,95,65,4,FALSE
472,GLISCOR,GROUND,FLYING,510,75,95,125,45,75,95,4,FALSE
473,MAMOSWINE,ICE,GROUND,530,110,130,80,70,60,80,4,FALSE
474,PORYGON-Z,NORMAL,,535,85,80,70,135,75,90,4,FALSE
475,GALLADE,PSYCHIC,FIGHTING,518,68,125,65,65,115,80,4,FALSE
475,MEGA GALLADE,PSYCHIC,FIGHTING,618,68,165,95,65,115,110,4,FALSE
476,PROBOPASS,ROCK,STEEL,525,60,55,145,75,150,40,4,FALSE
477,DUSKNOIR,GHOST,,525,45,100,135,65,135,45,4,FALSE
478,FROSLASS,ICE,GHOST,480,70,80,70,80,70,110,4,FALSE
479,ROTOM,ELECTRIC,GHOST,440,50,50,77,95,77,91,4,FALSE
479,ROTOMHEAT ROTOM,ELECTRIC,FIRE,520,50,65,107,105,107,86,4,FALSE
479,ROTOMWASH ROTOM,ELECTRIC,WATER,520,50,65,107,105,107,86,4,FALSE
479,ROTOMFROST ROTOM,ELECTRIC,ICE,520,50,65,107,105,107,86,4,FALSE
479,ROTOMFAN ROTOM,ELECTRIC,FLYING,520,50,65,107,105,107,86,4,FALSE
479,ROTOMMOW ROTOM,ELECTRIC,GRASS,520,50,65,107,105,107,86,4,FALSE
480,UXIE,PSYCHIC,,580,75,75,130,75,130,95,4,TRUE
481,MESPRIT,PSYCHIC,,580,80,105,105,105,105,80,4,TRUE
482,AZELF,PSYCHIC,,580,75,125,70,125,70,115,4,TRUE
483,DIALGA,STEEL,DRAGON,680,100,120,120,150,100,90,4,TRUE
484,PALKIA,WATER,DRAGON,680,90,120,100,150,120,100,4,TRUE
485,HEATRAN,FIRE,STEEL,600,91,90,106,130,106,77,4,TRUE
486,REGIGIGAS,NORMAL,,670,110,160,110,80,110,100,4,TRUE
487,GIRATINAALTERED FORME,GHOST,DRAGON,680,150,100,120,100,120,90,4,TRUE
487,GIRATINAORIGIN FORME,GHOST,DRAGON,680,150,120,100,120,100,90,4,TRUE
488,CRESSELIA,PSYCHIC,,600,120,70,120,75,130,85,4,FALSE
489,PHIONE,WATER,,480,80,80,80,80,80,80,4,FALSE
490,MANAPHY,WATER,,600,100,100,100,100,100,100,4,FALSE
491,DARKRAI,DARK,,600,70,90,90,135,90,125,4,TRUE
492,SHAYMINLAND FORME,GRASS,,600,100,100,100,100,100,100,4,TRUE
492,SHAYMINSKY FORME,GRASS,FLYING,600,100,103,75,120,75,127,4,TRUE
493,ARCEUS,NORMAL,,720,120,120,120,120,120,120,4,TRUE
494,VICTINI,PSYCHIC,FIRE,600,100,100,100,100,100,100,5,TRUE
495,SNIVY,GRASS,,308,45,45,55,45,55,63,5,FALSE
496,SERVINE,GRASS,,413,60,60,75,60,75,83,5,FALSE
497,SERPERIOR,GRASS,,528,75,75,95,75,95,113,5,FALSE
498,TEPIG,FIRE,,308,65,63,45,45,45,45,5,FALSE
499,PIGNITE,FIRE,FIGHTING,418,90,93,55,70,55,55,5,FALSE
500,EMBOAR,FIRE,FIGHTING,528,110,123,65,100,65,65,5,FALSE
501,OSHAWOTT,WATER,,308,55,55,45,63,45,45,5,FALSE
502,DEWOTT,WATER,,413,75,75,60,83,60,60,5,FALSE
503,SAMUROTT,WATER,,528,95,100,85,108,70,70,5,FALSE
504,PATRAT,NORMAL,,255,45,55,39,35,39,42,5,FALSE
505,WATCHOG,NORMAL,,420,60,85,69,60,69,77,5,FALSE
506,LILLIPUP,NORMAL,,275,45,60,45,25,45,55,5,FALSE
507,HERDIER,NORMAL,,370,65,80,65,35,65,60,5,FALSE
508,STOUTLAND,NORMAL,,500,85,110,90,45,90,80,5,FALSE
509,PURRLOIN,DARK,,281,41,50,37,50,37,66,5,FALSE
510,LIEPARD,DARK,,446,64,88,50,88,50,106,5,FALSE
511,PANSAGE,GRASS,,316,50,53,48,53,48,64,5,FALSE
512,SIMISAGE,GRASS,,498,75,98,63,98,63,101,5,FALSE
513,PANSEAR,FIRE,,316,50,53,48,53,48,64,5,FALSE
514,SIMISEAR,FIRE,,498,75,98,63,98,63,101,5,FALSE
515,PANPOUR,WATER,,316,50,53,48,53,48,64,5,FALSE
516,SIMIPOUR,WATER,,498,75,98,63,98,63,101,5,FALSE
517,MUNNA,PSYCHIC,,292,76,25,45,67,55,24,5,FALSE
518,MUSHARNA,PSYCHIC,,487,116,55,85,107,95,29,5,FALSE
519,PIDOVE,NORMAL,FLYING,264,50,55,50,36,30,43,5,FALSE
520,TRANQUILL,NORMAL,FLYING,358,62,77,62,50,42,65,5,FALSE
521,UNFEZANT,NORMAL,FLYING,488,80,115,80,65,55,93,5,FALSE
522,BLITZLE,ELECTRIC,,295,45,60,32,50,32,76,5,FALSE
523,ZEBSTRIKA,ELECTRIC,,497,75,100,63,80,63,116,5,FALSE
524,ROGGENROLA,ROCK,,280,55,75,85,25,25,15,5,FALSE
525,BOLDORE,ROCK,,390,70,105,105,50,40,20,5,FALSE
526,GIGALITH,ROCK,,515,85,135,130,60,80,25,5,FALSE
527,WOOBAT,PSYCHIC,FLYING,313,55,45,43,55,43,72,5,FALSE
528,SWOOBAT,PSYCHIC,FLYING,425,67,57,55,77,55,114,5,FALSE
529,DRILBUR,GROUND,,328,60,85,40,30,45,68,5,FALSE
530,EXCADRILL,GROUND,STEEL,508,110,135,60,50,65,88,5,FALSE
531,AUDINO,NORMAL,,445,103,60,86,60,86,50,5,FALSE
531,MEGA AUDINO,NORMAL,FAIRY,545,103,60,126,80,126,50,5,FALSE
532,TIMBURR,FIGHTING,,305,75,80,55,25,35,35,5,FALSE
533,GURDURR,FIGHTING,,405,85,105,85,40,50,40,5,FALSE
534,CONKELDURR,FIGHTING,,505,105,140,95,55,65,45,5,FALSE
535,TYMPOLE,WATER,,294,50,50,40,50,40,64,5,FALSE
536,PALPITOAD,WATER,GROUND,384,75,65,55,65,55,69,5,FALSE
537,SEISMITOAD,WATER,GROUND,509,105,95,75,85,75,74,5,FALSE
538,THROH,FIGHTING,,465,120,100,85,30,85,45,5,FALSE
539,SAWK,FIGHTING,,465,75,125,75,30,75,85,5,FALSE
540,SEWADDLE,BUG,GRASS,310,45,53,70,40,60,42,5,FALSE
541,SWADLOON,BUG,GRASS,380,55,63,90,50,80,42,5,FALSE
542,LEAVANNY,BUG,GRASS,500,75,103,80,70,80,92,5,FALSE
543,VENIPEDE,BUG,POISON,260,30,45,59,30,39,57,5,FALSE
544,WHIRLIPEDE,BUG,POISON,360,40,55,99,40,79,47,5,FALSE
545,SCOLIPEDE,BUG,POISON,485,60,100,89,55,69,112,5,FALSE
546,COTTONEE,GRASS,FAIRY,280,40,27,60,37,50,66,5,FALSE
547,WHIMSICOTT,GRASS,FAIRY,480,60,67,85,77,75,116,5,FALSE
548,PETILIL,GRASS,,280,45,35,50,70,50,30,5,FALSE
549,LILLIGANT,GRASS,,480,70,60,75,110,75,90,5,FALSE
550,BASCULIN,WATER,,460,70,92,65,80,55,98,5,FALSE
551,SANDILE,GROUND,DARK,292,50,72,35,35,35,65,5,FALSE
552,KROKOROK,GROUND,DARK,351,60,82,45,45,45,74,5,FALSE
553,KROOKODILE,GROUND,DARK,519,95,117,80,65,70,92,5,FALSE
554,DARUMAKA,FIRE,,315,70,90,45,15,45,50,5,FALSE
555,DARMANITANSTANDARD MODE,FIRE,,480,105,140,55,30,55,95,5,FALSE
555,DARMANITANZEN MODE,FIRE,PSYCHIC,540,105,30,105,140,105,55,5,FALSE
556,MARACTUS,GRASS,,461,75,86,67,106,67,60,5,FALSE
557,DWEBBLE,BUG,ROCK,325,50,65,85,35,35,55,5,FALSE
558,CRUSTLE,BUG,ROCK,475,70,95,125,65,75,45,5,FALSE
559,SCRAGGY,DARK,FIGHTING,348,50,75,70,35,70,48,5,FALSE
560,SCRAFTY,DARK,FIGHTING,488,65,90,115,45,115,58,5,FALSE
561,SIGILYPH,PSYCHIC,FLYING,490,72,58,80,103,80,97,5,FALSE
562,YAMASK,GHOST,,303,38,30,85,55,65,30,5,FALSE
563,COFAGRIGUS,GHOST,,483,58,50,145,95,105,30,5,FALSE
564,TIRTOUGA,WATER,ROCK,355,54,78,103,53,45,22,5,FALSE
565,CARRACOSTA,WATER,ROCK,495,74,108,133,83,65,32,5,FALSE
566,ARCHEN,ROCK,FLYING,401,55,112,45,74,45,70,5,FALSE
567,ARCHEOPS,ROCK,FLYING,567,75,140,65,112,65,110,5,FALSE
568,TRUBBISH,POISON,,329,50,50,62,40,62,65,5,FALSE
569,GARBODOR,POISON,,474,80,95,82,60,82,75,5,FALSE
570,ZORUA,DARK,,330,40,65,40,80,40,65,5,FALSE
571,ZOROARK,DARK,,510,60,105,60,120,60,105,5,FALSE
572,MINCCINO,NORMAL,,300,55,50,40,40,40,75,5,FALSE
573,CINCCINO,NORMAL,,470,75,95,60,65,60,115,5,FALSE
574,GOTHITA,PSYCHIC,,290,45,30,50,55,65,45,5,FALSE
575,GOTHORITA,PSYCHIC,,390,60,45,70,75,85,55,5,FALSE
576,GOTHITELLE,PSYCHIC,,490,70,55,95,95,110,65,5,FALSE
577,SOLOSIS,PSYCHIC,,290,45,30,40,105,50,20,5,FALSE
578,DUOSION,PSYCHIC,,370,65,40,50,125,60,30,5,FALSE
579,REUNICLUS,PSYCHIC,,490,110,65,75,125,85,30,5,FALSE
580,DUCKLETT,WATER,FLYING,305,62,44,50,44,50,55,5,FALSE
581,SWANNA,WATER,FLYING,473,75,87,63,87,63,98,5,FALSE
582,VANILLITE,ICE,,305,36,50,50,65,60,44,5,FALSE
583,VANILLISH,ICE,,395,51,65,65,80,75,59,5,FALSE
584,VANILLUXE,ICE,,535,71,95,85,110,95,79,5,FALSE
585,DEERLING,NORMAL,GRASS,335,60,60,50,40,50,75,5,FALSE
586,SAWSBUCK,NORMAL,GRASS,475,80,100,70,60,70,95,5,FALSE
587,EMOLGA,ELECTRIC,FLYING,428,55,75,60,75,60,103,5,FALSE
588,KARRABLAST,BUG,,315,50,75,45,40,45,60,5,FALSE
589,ESCAVALIER,BUG,STEEL,495,70,135,105,60,105,20,5,FALSE
590,FOONGUS,GRASS,POISON,294,69,55,45,55,55,15,5,FALSE
591,AMOONGUSS,GRASS,POISON,464,114,85,70,85,80,30,5,FALSE
592,FRILLISH,WATER,GHOST,335,55,40,50,65,85,40,5,FALSE
593,JELLICENT,WATER,GHOST,480,100,60,70,85,105,60,5,FALSE
594,ALOMOMOLA,WATER,,470,165,75,80,40,45,65,5,FALSE
595,JOLTIK,BUG,ELECTRIC,319,50,47,50,57,50,65,5,FALSE
596,GALVANTULA,BUG,ELECTRIC,472,70,77,60,97,60,108,5,FALSE
597,FERROSEED,GRASS,STEEL,305,44,50,91,24,86,10,5,FALSE
598,FERROTHORN,GRASS,STEEL,489,74,94,131,54,116,20,5,FALSE
599,KLINK,STEEL,,300,40,55,70,45,60,30,5,FALSE
600,KLANG,STEEL,,440,60,80,95,70,85,50,5,FALSE
601,KLINKLANG,STEEL,,520,60,100,115,70,85,90,5,FALSE
602,TYNAMO,ELECTRIC,,275,35,55,40,45,40,60,5,FALSE
603,EELEKTRIK,ELECTRIC,,405,65,85,70,75,70,40,5,FALSE
604,EELEKTROSS,ELECTRIC,,515,85,115,80,105,80,50,5,FALSE
605,ELGYEM,PSYCHIC,,335,55,55,55,85,55,30,5,FALSE
606,BEHEEYEM,PSYCHIC,,485,75,75,75,125,95,40,5,FALSE
607,LITWICK,GHOST,FIRE,275,50,30,55,65,55,20,5,FALSE
608,LAMPENT,GHOST,FIRE,370,60,40,60,95,60,55,5,FALSE
609,CHANDELURE,GHOST,FIRE,520,60,55,90,145,90,80,5,FALSE
610,AXEW,DRAGON,,320,46,87,60,30,40,57,5,FALSE
611,FRAXURE,DRAGON,,410,66,117,70,40,50,67,5,FALSE
612,HAXORUS,DRAGON,,540,76,147,90,60,70,97,5,FALSE
613,CUBCHOO,ICE,,305,55,70,40,60,40,40,5,FALSE
614,BEARTIC,ICE,,485,95,110,80,70,80,50,5,FALSE
615,CRYOGONAL,ICE,,485,70,50,30,95,135,105,5,FALSE
616,SHELMET,BUG,,305,50,40,85,40,65,25,5,FALSE
617,ACCELGOR,BUG,,495,80,70,40,100,60,145,5,FALSE
618,STUNFISK,GROUND,ELECTRIC,471,109,66,84,81,99,32,5,FALSE
619,MIENFOO,FIGHTING,,350,45,85,50,55,50,65,5,FALSE
620,MIENSHAO,FIGHTING,,510,65,125,60,95,60,105,5,FALSE
621,DRUDDIGON,DRAGON,,485,77,120,90,60,90,48,5,FALSE
622,GOLETT,GROUND,GHOST,303,59,74,50,35,50,35,5,FALSE
623,GOLURK,GROUND,GHOST,483,89,124,80,55,80,55,5,FALSE
624,PAWNIARD,DARK,STEEL,340,45,85,70,40,40,60,5,FALSE
625,BISHARP,DARK,STEEL,490,65,125,100,60,70,70,5,FALSE
626,BOUFFALANT,NORMAL,,490,95,110,95,40,95,55,5,FALSE
627,RUFFLET,NORMAL,FLYING,350,70,83,50,37,50,60,5,FALSE
628,BRAVIARY,NORMAL,FLYING,510,100,123,75,57,75,80,5,FALSE
629,VULLABY,DARK,FLYING,370,70,55,75,45,65,60,5,FALSE
630,MANDIBUZZ,DARK,FLYING,510,110,65,105,55,95,80,5,FALSE
631,HEATMOR,FIRE,,484,85,97,66,105,66,65,5,FALSE
632,DURANT,BUG,STEEL,484,58,109,112,48,48,109,5,FALSE
633,DEINO,DARK,DRAGON,300,52,65,50,45,50,38,5,FALSE
634,ZWEILOUS,DARK,DRAGON,420,72,85,70,65,70,58,5,FALSE
635,HYDREIGON,DARK,DRAGON,600,92,105,90,125,90,98,5,FALSE
636,LARVESTA,BUG,FIRE,360,55,85,55,50,55,60,5,FALSE
637,VOLCARONA,BUG,FIRE,550,85,60,65,135,105,100,5,FALSE
638,COBALION,STEEL,FIGHTING,580,91,90,129,90,72,108,5,TRUE
639,TERRAKION,ROCK,FIGHTING,580,91,129,90,72,90,108,5,TRUE
640,VIRIZION,GRASS,FIGHTING,580,91,90,72,90,129,108,5,TRUE
641,TORNADUSINCARNATE FORME,FLYING,,580,79,115,70,125,80,111,5,TRUE
641,TORNADUSTHERIAN FORME,FLYING,,580,79,100,80,110,90,121,5,TRUE
642,THUNDURUSINCARNATE FORME,ELECTRIC,FLYING,580,79,115,70,125,80,111,5,TRUE
