#,NAME,TYPE 1,TYPE 2,HP,ATTACK,DEFENSE,SP. ATK,SP. DEF,SPEED,
402,KRICKETUNE,BUG,,77,85,51,55,51,65,
403,SHINX,ELECTRIC,,45,65,34,40,34,45,
404,LUXIO,ELECTRIC,,60,85,49,60,49,60,
405,LUXRAY,ELECTRIC,,80,120,79,95,79,70,
406,BUDEW,GRASS,POISON,40,30,35,50,70,55,
407,ROSERADE,GRASS,POISON,60,70,65,125,105,90,
408,CRANIDOS,ROCK,,67,125,40,30,30,58,
409,RAMPARDOS,ROCK,,97,165,60,65,50,58,
410,SHIELDON,ROCK,STEEL,30,42,118,42,88,30,
411,BASTIODON,ROCK,STEEL,60,52,168,47,138,30,
412,BURMY,BUG,,40,29,45,29,45,36,
413,WORMADAMPLANT CLOAK,BUG,GRASS,60,59,85,79,105,36,
413,WORMADAMSANDY CLOAK,BUG,GROUND,60,79,105,59,85,36,
413,WORMADAMTRASH CLOAK,BUG,STEEL,60,69,95,69,95,36,
414,MOTHIM,BUG,FLYING,70,94,50,94,50,66,
415,COMBEE,BUG,FLYING,30,30,42,30,42,70,
416,VESPIQUEN,BUG,FLYING,70,80,102,80,102,40,
417,PACHIRISU,ELECTRIC,,60,45,70,45,90,95,
418,BUIZEL,WATER,,55,65,35,60,30,85,
419,FLOATZEL,WATER,,85,105,55,85,50,115,
420,CHERUBI,GRASS,,45,35,45,62,53,35,
421,CHERRIM,GRASS,,70,60,70,87,78,85,
422,SHELLOS,WATER,,76,48,48,57,62,34,
423,GASTRODON,WATER,GROUND,111,83,68,92,82,39,
424,AMBIPOM,NORMAL,,75,100,66,60,66,115,
425,DRIFLOON,GHOST,FLYING,90,50,34,60,44,70,
426,DRIFBLIM,GHOST,FLYING,150,80,44,90,54,80,
427,BUNEARY,NORMAL,,55,66,44,44,56,85,
428,LOPUNNY,NORMAL,,65,76,84,54,96,105,
428,MEGA LOPUNNY,NORMAL,FIGHTING,65,136,94,54,96,135,
429,MISMAGIUS,GHOST,,60,60,60,105,105,105,
430,HONCHKROW,DARK,FLYING,100,125,52,105,52,71,
431,GLAMEOW,NORMAL,,49,55,42,42,37,85,
432,PURUGLY,NORMAL,,71,82,64,64,59,112,
433,CHINGLING,PSYCHIC,,45,30,50,65,50,45,
434,STUNKY,POISON,DARK,63,63,47,41,41,74,
435,SKUNTANK,POISON,DARK,103,93,67,71,61,84,
436,BRONZOR,STEEL,PSYCHIC,57,24,86,24,86,23,
437,BRONZONG,STEEL,PSYCHIC,67,89,116,79,116,33,
438,BONSLY,ROCK,,50,80,95,10,45,10,
439,MIME JR.,PSYCHIC,FAIRY,20,25,45,70,90,60,
440,HAPPINY,NORMAL,,100,5,5,15,65,30,
441,CHATOT,NORMAL,FLYING,76,65,45,92,42,91,
442,SPIRITOMB,GHOST,DARK,50,92,108,92,108,35,
443,GIBLE,DRAGON,GROUND,58,70,45,40,45,42,
444,GABITE,DRAGON,GROUND,68,90,65,50,55,82,
445,GARCHOMP,DRAGON,GROUND,108,130,95,80,85,102,
445,MEGA GARCHOMP,DRAGON,GROUND,108,170,115,120,95,92,
446,MUNCHLAX,NORMAL,,135,85,40,40,85,5,
447,RIOLU,FIGHTING,,40,70,40,35,40,60,
448,LUCARIO,FIGHTING,STEEL,70,110,70,115,70,90,
448,MEGA LUCARIO,FIGHTING,STEEL,70,145,88,140,70,112,
449,HIPPOPOTAS,GROUND,,68,72,78,38,42,32,
450,HIPPOWDON,GROUND,,108,112,118,68,72,47,
451,SKORUPI,POISON,BUG,40,50,90,30,55,65,
452,DRAPION,POISON,DARK,70,90,110,60,75,95,
453,CROAGUNK,POISON,FIGHTING,48,61,40,61,40,50,
454,TOXICROAK,POISON,FIGHTING,83,106,65,86,65,85,
455,CARNIVINE,GRASS,,74,100,72,90,72,46,
456,FINNEON,WATER,,49,49,56,49,61,66,
457,LUMINEON,WATER,,69,69,76,69,86,91,
458,MANTYKE,WATER,FLYING,45,20,50,60,120,50,
459,SNOVER,GRASS,ICE,60,62,50,62,60,40,
460,ABOMASNOW,GRASS,ICE,90,92,75,92,85,60,
460,MEGA ABOMASNOW,GRASS,ICE,90,132,105,132,105,30,
461,WEAVILE,DARK,ICE,70,120,65,45,85,125,
462,MAGNEZONE,ELECTRIC,STEEL,70,70,115,130,90,60,
463,LICKILICKY,NORMAL,,110,85,95,80,95,50,
464,RHYPERIOR,GROUND,ROCK,115,140,130,55,55,40,
465,TANGROWTH,GRASS,,100,100,125,110,50,50,
466,ELECTIVIRE,ELECTRIC,,75,123,67,95,85,95,
467,MAGMORTAR,FIRE,,75,95,67,125,95,83,
468,TOGEKISS,FAIRY,FLYING,85,50,95,120,115,80,
469,MEGA,BUG,FLYING,86,76,86,116,56,95,
470,LEAFEON,GRASS,,65,110,130,60,65,95,
471,GLACEON,ICE,,65,60,110,130,95,65,
472,GLISCOR,GROUND,FLYING,75,95,125,45,75,95,
473,MAMOSWINE,ICE,GROUND,110,130,80,70,60,80,
474,PORYGON-Z,NORMAL,,85,80,70,135,75,90,
475,GALLADE,PSYCHIC,FIGHTING,68,125,65,65,115,80,
475,MEGA GALLADE,PSYCHIC,FIGHTING,68,165,95,65,115,110,
476,PROBOPASS,ROCK,STEEL,60,55,145,75,150,40,
477,DUSKNOIR,GHOST,,45,100,135,65,135,45,
478,FROSLASS,ICE,GHOST,70,80,70,80,70,110,
479,ROTOM,ELECTRIC,GHOST,50,50,77,95,77,91,
479,ROTOMHEAT ROTOM,ELECTRIC,FIRE,50,65,107,105,107,86,
479,ROTOMWASH ROTOM,ELECTRIC,WATER,50,65,107,105,107,86,
479,ROTOMFROST ROTOM,ELECTRIC,ICE,50,65,107,105,107,86,
479,ROTOMFAN ROTOM,ELECTRIC,FLYING,50,65,107,105,107,86,
479,ROTOMMOW ROTOM,ELECTRIC,GRASS,50,65,107,105,107,86,
480,UXIE,PSYCHIC,,75,75,130,75,130,95,
481,MESPRIT,PSYCHIC,,80,105,105,105,105,80,
482,AZELF,PSYCHIC,,75,125,70,125,70,115,
483,DIALGA,STEEL,DRAGON,100,120,120,150,100,90,
484,PALKIA,WATER,DRAGON,90,120,100,150,120,100,
485,HEATRAN,FIRE,STEEL,91,90,106,130,106,77,
486,REGIGIGAS,NORMAL,,110,160,110,80,110,100,
487,GIRATINAALTERED FORME,GHOST,DRAGON,150,100,120,100,120,90,
487,GIRATINAORIGIN FORME,GHOST,DRAGON,150,120,100,120,100,90,
488,CRESSELIA,PSYCHIC,,120,70,120,75,130,85,
489,PHIONE,WATER,,80,80,80,80,80,80,
490,MANAPHY,WATER,,100,100,100,100,100,100,
491,DARKRAI,DARK,,70,90,90,135,90,125,
492,SHAYMINLAND FORME,GRASS,,100,100,100,100,100,100,
492,SHAYMINSKY FORME,GRASS,FLYING,100,103,75,120,75,127,
493,ARCEUS,NORMAL,,120,120,120,120,120,120,
494,VICTINI,PSYCHIC,FIRE,100,100,100,100,100,100,
495,SNIVY,GRASS,,45,45,55,45,55,63,
496,SERVINE,GRASS,,60,60,75,60,75,83,
497,SERPERIOR,GRASS,,75,75,95,75,95,113,
498,TEPIG,FIRE,,65,63,45,45,45,45,
499,PIGNITE,FIRE,FIGHTING,90,93,55,70,55,55,
500,EMBOAR,FIRE,FIGHTING,110,123,65,100,65,65,
501,OSHAWOTT,WATER,,55,55,45,63,45,45,
502,DEWOTT,WATER,,75,75,60,83,60,60,
503,SAMUROTT,WATER,,95,100,85,108,70,70,
504,PATRAT,NORMAL,,45,55,39,35,39,42,
505,WATCHOG,NORMAL,,60,85,69,60,69,77,
506,LILLIPUP,NORMAL,,45,60,45,25,45,55,
507,HERDIER,NORMAL,,65,80,65,35,65,60,
508,STOUTLAND,NORMAL,,85,110,90,45,90,80,
509,PURRLOIN,DARK,,41,50,37,50,37,66,
510,LIEPARD,DARK,,64,88,50,88,50,106,
511,PANSAGE,GRASS,,50,53,48,53,48,64,
512,SIMISAGE,GRASS,,75,98,63,98,63,101,
513,PANSEAR,FIRE,,50,53,48,53,48,64,
514,SIMISEAR,FIRE,,75,98,63,98,63,101,
515,PANPOUR,WATER,,50,53,48,53,48,64,
516,SIMIPOUR,WATER,,75,98,63,98,63,101,
517,MUNNA,PSYCHIC,,76,25,45,67,55,24,
518,MUSHARNA,PSYCHIC,,116,55,85,107,95,29,
519,PIDOVE,NORMAL,FLYING,50,55,50,36,30,43,
520,TRANQUILL,NORMAL,FLYING,62,77,62,50,42,65,
521,UNFEZANT,NORMAL,FLYING,80,115,80,65,55,93,
522,BLITZLE,ELECTRIC,,45,60,32,50,32,76,
523,ZEBSTRIKA,ELECTRIC,,75,100,63,80,63,116,
524,ROGGENROLA,ROCK,,55,75,85,25,25,15,
525,BOLDORE,ROCK,,70,105,105,50,40,20,
526,GIGALITH,ROCK,,85,135,130,60,80,25,
527,WOOBAT,PSYCHIC,FLYING,55,45,43,55,43,72,
528,SWOOBAT,PSYCHIC,FLYING,67,57,55,77,55,114,
529,DRILBUR,GROUND,,60,85,40,30,45,68,
530,EXCADRILL,GROUND,STEEL,110,135,60,50,65,88,
531,AUDINO,NORMAL,,103,60,86,60,86,50,
531,MEGA AUDINO,NORMAL,FAIRY,103,60,126,80,126,50,
532,TIMBURR,FIGHTING,,75,80,55,25,35,35,
533,GURDURR,FIGHTING,,85,105,85,40,50,40,
534,CONKELDURR,FIGHTING,,105,140,95,55,65,45,
535,TYMPOLE,WATER,,50,50,40,50,40,64,
536,PALPITOAD,WATER,GROUND,75,65,55,65,55,69,
537,SEISMITOAD,WATER,GROUND,105,95,75,85,75,74,
538,THROH,FIGHTING,,120,100,85,30,85,45,
539,SAWK,FIGHTING,,75,125,75,30,75,85,
540,SEWADDLE,BUG,GRASS,45,53,70,40,60,42,
541,SWADLOON,BUG,GRASS,55,63,90,50,80,42,
542,LEAVANNY,BUG,GRASS,75,103,80,70,80,92,
543,VENIPEDE,BUG,POISON,30,45,59,30,39,57,
544,WHIRLIPEDE,BUG,POISON,40,55,99,40,79,47,
545,SCOLIPEDE,BUG,POISON,60,100,89,55,69,112,
546,COTTONEE,GRASS,FAIRY,40,27,60,37,50,66,
547,WHIMSICOTT,GRASS,FAIRY,60,67,85,77,75,116,
548,PETILIL,GRASS,,45,35,50,70,50,30,
549,LILLIGANT,GRASS,,70,60,75,110,75,90,
550,BASCULIN,WATER,,70,92,65,80,55,98,
551,SANDILE,GROUND,DARK,50,72,35,35,35,65,
552,KROKOROK,GROUND,DARK,60,82,45,45,45,74,
553,KROOKODILE,GROUND,DARK,95,117,80,65,70,92,
554,DARUMAKA,FIRE,,70,90,45,15,45,50,
555,DARMANITANSTANDARD MODE,FIRE,,105,140,55,30,55,95,
555,DARMANITANZEN MODE,FIRE,PSYCHIC,105,30,105,140,105,55,
556,MARACTUS,GRASS,,75,86,67,106,67,60,
557,DWEBBLE,BUG,ROCK,50,65,85,35,35,55,
558,CRUSTLE,BUG,ROCK,70,95,125,65,75,45,
559,SCRAGGY,DARK,FIGHTING,50,75,70,35,70,48,
560,SCRAFTY,DARK,FIGHTING,65,90,115,45,115,58,
561,SIGILYPH,PSYCHIC,FLYING,72,58,80,103,80,97,
562,YAMASK,GHOST,,38,30,85,55,65,30,
563,COFAGRIGUS,GHOST,,58,50,145,95,105,30,
564,TIRTOUGA,WATER,ROCK,54,78,103,53,45,22,
565,CARRACOSTA,WATER,ROCK,74,108,133,83,65,32,
566,ARCHEN,ROCK,FLYING,55,112,45,74,45,70,
567,ARCHEOPS,ROCK,FLYING,75,140,65,112,65,110,
568,TRUBBISH,POISON,,50,50,62,40,62,65,
569,GARBODOR,POISON,,80,95,82,60,82,75,
570,ZORUA,DARK,,40,65,40,80,40,65,
571,ZOROARK,DARK,,60,105,60,120,60,105,
572,MINCCINO,NORMAL,,55,50,40,40,40,75,
573,CINCCINO,NORMAL,,75,95,60,65,60,115,
574,GOTHITA,PSYCHIC,,45,30,50,55,65,45,
575,GOTHORITA,PSYCHIC,,60,45,70,75,85,55,
576,GOTHITELLE,PSYCHIC,,70,55,95,95,110,65,
577,SOLOSIS,PSYCHIC,,45,30,40,105,50,20,
578,DUOSION,PSYCHIC,,65,40,50,125,60,30,
579,REUNICLUS,PSYCHIC,,110,65,75,125,85,30,
580,DUCKLETT,WATER,FLYING,62,44,50,44,50,55,
581,SWANNA,WATER,FLYING,75,87,63,87,63,98,
582,VANILLITE,ICE,,36,50,50,65,60,44,
583,VANILLISH,ICE,,51,65,65,80,75,59,
584,VANILLUXE,ICE,,71,95,85,110,95,79,
585,DEERLING,NORMAL,GRASS,60,60,50,40,50,75,
586,SAWSBUCK,NORMAL,GRASS,80,100,70,60,70,95,
587,EMOLGA,ELECTRIC,FLYING,55,75,60,75,60,103,
588,KARRABLAST,BUG,,50,75,45,40,45,60,
589,ESCAVALIER,BUG,STEEL,70,135,105,60,105,20,
590,FOONGUS,GRASS,POISON,69,55,45,55,55,15,
591,AMOONGUSS,GRASS,POISON,114,85,70,85,80,30,
592,FRILLISH,WATER,GHOST,55,40,50,65,85,40,
593,JELLICENT,WATER,GHOST,100,60,70,85,105,60,
594,ALOMOMOLA,WATER,,165,75,80,40,45,65,
595,JOLTIK,BUG,ELECTRIC,50,47,50,57,50,65,
596,GALVANTULA,BUG,ELECTRIC,70,77,60,97,60,108,
597,FERROSEED,GRASS,STEEL,44,50,91,24,86,10,
598,FERROTHORN,GRASS,STEEL,74,94,131,54,116,20,
599,KLINK,STEEL,,40,55,70,45,60,30,
600,KLANG,STEEL,,60,80,95,70,85,50,
601,KLINKLANG,STEEL,,60,100,115,70,85,90,
602,TYNAMO,ELECTRIC,,35,55,40,45,40,60,
603,EELEKTRIK,ELECTRIC,,65,85,70,75,70,40,
604,EELEKTROSS,ELECTRIC,,85,115,80,105,80,50,
605,ELGYEM,PSYCHIC,,55,55,55,85,55,30,
606,BEHEEYEM,PSYCHIC,,75,75,75,125,95,40,
607,LITWICK,GHOST,FIRE,50,30,55,65,55,20,
608,LAMPENT,GHOST,FIRE,60,40,60,95,60,55,
609,CHANDELURE,GHOST,FIRE,60,55,90,145,90,80,
610,AXEW,DRAGON,,46,87,60,30,40,57,
611,FRAXURE,DRAGON,,66,117,70,40,50,67,
612,HAXORUS,DRAGON,,76,147,90,60,70,97,
613,CUBCHOO,ICE,,55,70,40,60,40,40,
614,BEARTIC,ICE,,95,110,80,70,80,50,
615,CRYOGONAL,ICE,,70,50,30,95,135,105,
616,SHELMET,BUG,,50,40,85,40,65,25,
617,ACCELGOR,BUG,,80,70,40,100,60,145,
618,STUNFISK,GROUND,ELECTRIC,109,66,84,81,99,32,
619,MIENFOO,FIGHTING,,45,85,50,55,50,65,
620,MIENSHAO,FIGHTING,,65,125,60,95,60,105,
621,DRUDDIGON,DRAGON,,77,120,90,60,90,48,
622,GOLETT,GROUND,GHOST,59,74,50,35,50,35,
623,GOLURK,GROUND,GHOST,89,124,80,55,80,55,
624,PAWNIARD,DARK,STEEL,45,85,70,40,40,60,
625,BISHARP,DARK,STEEL,65,125,100,60,70,70,
626,BOUFFALANT,NORMAL,,95,110,95,40,95,55,
627,RUFFLET,NORMAL,FLYING,70,83,50,37,50,60,
628,BRAVIARY,NORMAL,FLYING,100,123,75,57,75,80,
629,VULLABY,DARK,FLYING,70,55,75,45,65,60,
630,MANDIBUZZ,DARK,FLYING,110,65,105,55,95,80,
631,HEATMOR,FIRE,,85,97,66,105,66,65,
632,DURANT,BUG,STEEL,58,109,112,48,48,109,
633,DEINO,DARK,DRAGON,52,65,50,45,50,38,
634,ZWEILOUS,DARK,DRAGON,72,85,70,65,70,58,
635,HYDREIGON,DARK,DRAGON,92,105,90,125,90,98,
636,LARVESTA,BUG,FIRE,55,85,55,50,55,60,
637,VOLCARONA,BUG,FIRE,85,60,65,135,105,100,
638,COBALION,STEEL,FIGHTING,91,90,129,90,72,108,
639,TERRAKION,ROCK,FIGHTING,91,129,90,72,90,108,
640,VIRIZION,GRASS,FIGHTING,91,90,72,90,129,108,
641,TORNADUSINCARNATE FORME,FLYING,,79,115,70,125,80,111,
641,TORNADUSTHERIAN FORME,FLYING,,79,100,80,110,90,121,
642,THUNDURUSINCARNATE FORME,ELECTRIC,FLYING,79,115,70,125,80,111,
642,THUNDURUSTHERIAN FORME,ELECTRIC,FLYING,79,105,70,145,80,101,
643,RESHIRAM,DRAGON,FIRE,100,120,100,150,120,90,
644,ZEKROM,DRAGON,ELECTRIC,100,150,120,120,100,90,
645,LANDORUSINCARNATE FORME,GROUND,FLYING,89,125,90,115,80,101,
645,LANDORUSTHERIAN FORME,GROUND,FLYING,89,145,90,105,80,91,
646,KYUREM,DRAGON,ICE,125,130,90,130,90,95,
646,KYUREMBLACK KYUREM,DRAGON,ICE,125,170,100,120,90,95,
646,KYUREMWHITE KYUREM,DRAGON,ICE,125,120,90,170,100,95,
647,KELDEOORDINARY FORME,WATER,FIGHTING,91,72,90,129,90,108,
647,KELDEORESOLUTE FORME,WATER,FIGHTING,91,72,90,129,90,108,
648,MELOETTAARIA FORME,NORMAL,PSYCHIC,100,77,77,128,128,90,
648,MELOETTAPIROUETTE FORME,NORMAL,FIGHTING,100,128,90,77,77,128,
649,GENESECT,BUG,STEEL,71,120,95,120,95,99,
650,CHESPIN,GRASS,,56,61,65,48,45,38,
651,QUILLADIN,GRASS,,61,78,95,56,58,57,
652,CHESNAUGHT,GRASS,FIGHTING,88,107,122,74,75,64,
653,FENNEKIN,FIRE,,40,45,40,62,60,60,
654,BRAIXEN,FIRE,,59,59,58,90,70,73,
655,DELPHOX,FIRE,PSYCHIC,75,69,72,114,100,104,
656,FROAKIE,WATER,,41,56,40,62,44,71,
657,FROGADIER,WATER,,54,63,52,83,56,97,
658,GRENINJA,WATER,DARK,72,95,67,103,71,122,
659,BUNNELBY,NORMAL,,38,36,38,32,36,57,
660,DIGGERSBY,NORMAL,GROUND,85,56,77,50,77,78,
661,FLETCHLING,NORMAL,FLYING,45,50,43,40,38,62,
662,FLETCHINDER,FIRE,FLYING,62,73,55,56,52,84,
663,TALONFLAME,FIRE,FLYING,78,81,71,74,69,126,
664,SCATTERBUG,BUG,,38,35,40,27,25,35,
665,SPEWPA,BUG,,45,22,60,27,30,29,
666,VIVILLON,BUG,FLYING,80,52,50,90,50,89,
667,LITLEO,FIRE,NORMAL,62,50,58,73,54,72,
668,PYROAR,FIRE,NORMAL,86,68,72,109,66,106,
669,FLAB̩B̩,FAIRY,,44,38,39,61,79,42,
670,FLOETTE,FAIRY,,54,45,47,75,98,52,
671,FLORGES,FAIRY,,78,65,68,112,154,75,
672,SKIDDO,GRASS,,66,65,48,62,57,52,
673,GOGOAT,GRASS,,123,100,62,97,81,68,
674,PANCHAM,FIGHTING,,67,82,62,46,48,43,
675,PANGORO,FIGHTING,DARK,95,124,78,69,71,58,
676,FURFROU,NORMAL,,75,80,60,65,90,102,
677,ESPURR,PSYCHIC,,62,48,54,63,60,68,
678,MEOWSTICMALE,PSYCHIC,,74,48,76,83,81,104,
678,MEOWSTICFEMALE,PSYCHIC,,74,48,76,83,81,104,
679,HONEDGE,STEEL,GHOST,45,80,100,35,37,28,
680,DOUBLADE,STEEL,GHOST,59,110,150,45,49,35,
681,AEGISLASHBLADE FORME,STEEL,GHOST,60,150,50,150,50,60,
681,AEGISLASHSHIELD FORME,STEEL,GHOST,60,50,150,50,150,60,
682,SPRITZEE,FAIRY,,78,52,60,63,65,23,
683,AROMATISSE,FAIRY,,101,72,72,99,89,29,
684,SWIRLIX,FAIRY,,62,48,66,59,57,49,
685,SLURPUFF,FAIRY,,82,80,86,85,75,72,
686,INKAY,DARK,PSYCHIC,53,54,53,37,46,45,
687,MALAMAR,DARK,PSYCHIC,86,92,88,68,75,73,
688,BINACLE,ROCK,WATER,42,52,67,39,56,50,
689,BARBARACLE,ROCK,WATER,72,105,115,54,86,68,
690,SKRELP,POISON,WATER,50,60,60,60,60,30,
691,DRAGALGE,POISON,DRAGON,65,75,90,97,123,44,
692,CLAUNCHER,WATER,,50,53,62,58,63,44,
693,CLAWITZER,WATER,,71,73,88,120,89,59,
694,HELIOPTILE,ELECTRIC,NORMAL,44,38,33,61,43,70,
695,HELIOLISK,ELECTRIC,NORMAL,62,55,52,109,94,109,
696,TYRUNT,ROCK,DRAGON,58,89,77,45,45,48,
697,TYRANTRUM,ROCK,DRAGON,82,121,119,69,59,71,
698,AMAURA,ROCK,ICE,77,59,50,67,63,46,
699,AURORUS,ROCK,ICE,123,77,72,99,92,58,
700,SYLVEON,FAIRY,,95,65,65,110,130,60,
701,HAWLUCHA,FIGHTING,FLYING,78,92,75,74,63,118,
702,DEDENNE,ELECTRIC,FAIRY,67,58,57,81,67,101,
703,CARBINK,ROCK,FAIRY,50,50,150,50,150,50,
704,GOOMY,DRAGON,,45,50,35,55,75,40,
705,SLIGGOO,DRAGON,,68,75,53,83,113,60,
706,GOODRA,DRAGON,,90,100,70,110,150,80,
707,KLEFKI,STEEL,FAIRY,57,80,91,80,87,75,
708,PHANTUMP,GHOST,GRASS,43,70,48,50,60,38,
709,TREVENANT,GHOST,GRASS,85,110,76,65,82,56,
710,PUMPKABOOAVERAGE SIZE,GHOST,GRASS,49,66,70,44,55,51,
710,PUMPKABOOSMALL SIZE,GHOST,GRASS,44,66,70,44,55,56,
710,PUMPKABOOLARGE SIZE,GHOST,GRASS,54,66,70,44,55,46,
710,PUMPKABOOSUPER SIZE,GHOST,GRASS,59,66,70,44,55,41,
711,GOURGEISTAVERAGE SIZE,GHOST,GRASS,65,90,122,58,75,84,
711,GOURGEISTSMALL SIZE,GHOST,GRASS,55,85,122,58,75,99,
711,GOURGEISTLARGE SIZE,GHOST,GRASS,75,95,122,58,75,69,
711,GOURGEISTSUPER SIZE,GHOST,GRASS,85,100,122,58,75,54,
712,BERGMITE,ICE,,55,69,85,32,35,28,
713,AVALUGG,ICE,,95,117,184,44,46,28,
714,NOIBAT,FLYING,DRAGON,40,30,35,45,40,55,
715,NOIVERN,FLYING,DRAGON,85,70,80,97,80,123,
716,XERNEAS,FAIRY,,126,131,95,131,98,99,
717,YVELTAL,DARK,FLYING,126,131,95,131,98,99,
718,ZYGARDE50% FORME,DRAGON,GROUND,108,100,121,81,95,95,
719,DIANCIE,ROCK,FAIRY,50,100,150,100,150,50,
719,MEGA DIANCIE,ROCK,FAIRY,50,160,110,160,110,110,
720,HOOPAHOOPA CONFINED,PSYCHIC,GHOST,80,110,60,150,130,70,
720,HOOPAHOOPA UNBOUND,PSYCHIC,DARK,80,160,60,170,130,80,
721,VOLCANION,FIRE,WATER,80,110,120,130,90,70,
